,Unnamed: 0,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,LONGITUDE,YBLOCK,DISTRICT,WARD,sector,PSA,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,ANC,LATITUDE
Unnamed: 0,1,0.002707562,0.001047537,4.98E-05,0.000479871,-0.001395605,0.001265093,-0.000976669,-0.00117534,0.000839348,0.003936918,5.00E-05,0.001324524,0.000480001
NEIGHBORHOOD_CLUSTER,0.002707562,1,0.537301353,0.742909718,-0.555662829,0.664677091,0.903283579,0.537152433,0.666761207,-0.084543559,0.611711454,0.74297634,0.903330954,-0.555674265
CENSUS_TRACT,0.001047537,0.537301353,1,0.653084408,-0.547899767,0.385212004,0.571426014,0.31182407,0.38813208,-0.221621663,0.506831322,0.652966191,0.572854604,-0.54784845
LONGITUDE,4.98E-05,0.742909718,0.653084408,1,-0.445832196,0.61598231,0.731769872,0.49911695,0.617699634,-0.173290545,0.591344301,0.999999945,0.733298036,-0.445824581
YBLOCK,0.000479871,-0.555662829,-0.547899767,-0.445832196,1,-0.371223553,-0.612808495,-0.303939087,-0.376134396,0.145369656,-0.551165408,-0.445758438,-0.615342878,0.999999971
DISTRICT,-0.001395605,0.664677091,0.385212004,0.61598231,-0.371223553,1,0.59254275,0.963555219,0.994617026,-0.040136524,0.413017865,0.616047912,0.593697024,-0.371235763
WARD,0.001265093,0.903283579,0.571426014,0.731769872,-0.612808495,0.59254275,1,0.483258225,0.595027282,-0.104087539,0.599110442,0.73180915,0.997642701,-0.612809282
sector,-0.000976669,0.537152433,0.31182407,0.49911695,-0.303939087,0.963555219,0.483258225,1,0.999924038,-0.03088952,0.332569229,0.49916952,0.484213915,-0.303948476
PSA,-0.00117534,0.666761207,0.38813208,0.617699634,-0.376134396,0.994617026,0.595027282,0.999924038,1,-0.039956845,0.414284009,0.617764238,0.596205259,-0.376146098
BLOCK_GROUP,0.000839348,-0.084543559,-0.221621663,-0.173290545,0.145369656,-0.040136524,-0.104087539,-0.03088952,-0.039956845,1,-0.185226267,-0.173258558,-0.105610947,0.145335778
VOTING_PRECINCT,0.003936918,0.611711454,0.506831322,0.591344301,-0.551165408,0.413017865,0.599110442,0.332569229,0.414284009,-0.185226267,1,0.591341286,0.597905697,-0.551129015
XBLOCK,5.00E-05,0.74297634,0.652966191,0.999999945,-0.445758438,0.616047912,0.73180915,0.49916952,0.617764238,-0.173258558,0.591341286,1,0.733335519,-0.445750865
ANC,0.001324524,0.903330954,0.572854604,0.733298036,-0.615342878,0.593697024,0.997642701,0.484213915,0.596205259,-0.105610947,0.597905697,0.733335519,1,-0.615343414
LATITUDE,0.000480001,-0.555674265,-0.54784845,-0.445824581,0.999999971,-0.371235763,-0.612809282,-0.303948476,-0.376146098,0.145335778,-0.551129015,-0.445750865,-0.615343414,1
